TemplateName	MoveToEastAnimationPList	MoveToNorthEastAnimationPList	MoveToNorthWestAnimationPList	MoveToSouthEastAnimationPList	MoveToSouthWestAnimationPList	MoveToWestAnimationPList	DieAnimationPList	StandAndFaceToEastPList	StandAndFaceToNorthEastPList	StandAndFaceToNorthWestPList	StandAndFaceToSouthEastPList	StandAndFaceToSouthWestPList	StandAndFaceToWestPList	AttackToEastPList	AttackToNorthEastPList	AttackToSouthEastPList	AttackToWestPList	AttackToNorthWestPList	AttackToSouthWestPList	MaxHp	AttackPower	MaxAttackRadius	MaxAlertRadius	PerSecondAttackCount	PerSecondMoveSpeedByPixel	BulletType	DamageType	AOEDamageRadius	ShadowYPosition	HpBarYPosition	MoveAnimateDelayPerUnit	StandAnimateDelayPerUnit	DieAnimateDelayPerUnit	BlueSelectedTipsTextureName	RedSelectedTipsTextureName		ReinforceRadius
BlueBarbarian_02	BlueBarbarianMoveToEast.plist	BlueBarbarianMoveToNorthEast.plist	BlueBarbarianMoveToNorthWest.plist	BlueBarbarianMoveToSouthEast.plist	BlueBarbarianMoveToSouthWest.plist	BlueBarbarianMoveToWest.plist	Die.plist	BlueBarbarianStandAndFaceToEast.plist	BlueBarbarianStandAndFaceToNorthEast.plist	BlueBarbarianStandAndFaceToNorthWest.plist	BlueBarbarianStandAndFaceToSouthEast.plist	BlueBarbarianStandAndFaceToSouthWest.plist	BlueBarbarianStandAndFaceToWest.plist	BlueBarbarianAttackToEast.plist	BlueBarbarianAttackToNorthEast.plist	BlueBarbarianAttackToSouthEast.plist	BlueBarbarianAttackToWest.plist	BlueBarbarianAttackToNorthWest.plist	BlueBarbarianAttackToSouthWest.plist	408	24	50	500	8	100	Null	Normal	0	50	130	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BrownBarbarian_02	BrownBarbarianMoveToEast.plist	BrownBarbarianMoveToNorthEast.plist	BrownBarbarianMoveToNorthWest.plist	BrownBarbarianMoveToSouthEast.plist	BrownBarbarianMoveToSouthWest.plist	BrownBarbarianMoveToWest.plist	Die.plist	BrownBarbarianStandAndFaceToEast.plist	BrownBarbarianStandAndFaceToNorthEast.plist	BrownBarbarianStandAndFaceToNorthWest.plist	BrownBarbarianStandAndFaceToSouthEast.plist	BrownBarbarianStandAndFaceToSouthWest.plist	BrownBarbarianStandAndFaceToWest.plist	BrownBarbarianAttackToEast.plist	BrownBarbarianAttackToNorthEast.plist	BrownBarbarianAttackToSouthEast.plist	BrownBarbarianAttackToWest.plist	BrownBarbarianAttackToNorthWest.plist	BrownBarbarianAttackToSouthWest.plist	408	24	50	500	8	100	Null	Normal	0	50	130	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BlueEnchanter_02	BlueEnchanterMoveToEast.plist	BlueEnchanterMoveToNorthEast.plist	BlueEnchanterMoveToNorthWest.plist	BlueEnchanterMoveToSouthEast.plist	BlueEnchanterMoveToSouthWest.plist	BlueEnchanterMoveToWest.plist	Die.plist	BlueEnchanterStandAndFaceToEast.plist	BlueEnchanterStandAndFaceToNorthEast.plist	BlueEnchanterStandAndFaceToNorthWest.plist	BlueEnchanterStandAndFaceToSouthEast.plist	BlueEnchanterStandAndFaceToSouthWest.plist	BlueEnchanterStandAndFaceToWest.plist	BlueEnchanterAttackToEast.plist	BlueEnchanterAttackToNorthEast.plist	BlueEnchanterAttackToSouthEast.plist	BlueEnchanterAttackToWest.plist	BlueEnchanterAttackToNorthWest.plist	BlueEnchanterAttackToSouthWest.plist	360	15	350	550	8	100	Magic	AreaOfEffect	50	25	100	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
PurpleEnchanter_02	PurpleEnchanterMoveToEast.plist	PurpleEnchanterMoveToNorthEast.plist	PurpleEnchanterMoveToNorthWest.plist	PurpleEnchanterMoveToSouthEast.plist	PurpleEnchanterMoveToSouthWest.plist	PurpleEnchanterMoveToWest.plist	Die.plist	PurpleEnchanterStandAndFaceToEast.plist	PurpleEnchanterStandAndFaceToNorthEast.plist	PurpleEnchanterStandAndFaceToNorthWest.plist	PurpleEnchanterStandAndFaceToSouthEast.plist	PurpleEnchanterStandAndFaceToSouthWest.plist	PurpleEnchanterStandAndFaceToWest.plist	PurpleEnchanterAttackToEast.plist	PurpleEnchanterAttackToNorthEast.plist	PurpleEnchanterAttackToSouthEast.plist	PurpleEnchanterAttackToWest.plist	PurpleEnchanterAttackToNorthWest.plist	PurpleEnchanterAttackToSouthWest.plist	360	15	350	550	8	100	Magic	AreaOfEffect	50	25	100	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BlueArcher_03	BlueArcherMoveToEast.plist	BlueArcherMoveToNorthEast.plist	BlueArcherMoveToNorthWest.plist	BlueArcherMoveToSouthEast.plist	BlueArcherMoveToSouthWest.plist	BlueArcherMoveToWest.plist	Die.plist	BlueArcherStandAndFaceToEast.plist	BlueArcherStandAndFaceToNorthEast.plist	BlueArcherStandAndFaceToNorthWest.plist	BlueArcherStandAndFaceToSouthEast.plist	BlueArcherStandAndFaceToSouthWest.plist	BlueArcherStandAndFaceToWest.plist	BlueArcherAttackToEast.plist	BlueArcherAttackToNorthEast.plist	BlueArcherAttackToSouthEast.plist	BlueArcherAttackToWest.plist	BlueArcherAttackToNorthWest.plist	BlueArcherAttackToSouthWest.plist	283	33	500	600	8	100	Arrow	Normal	0	15	90	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
GreenArcher_03	GreenArcherMoveToEast.plist	GreenArcherMoveToNorthEast.plist	GreenArcherMoveToNorthWest.plist	GreenArcherMoveToSouthEast.plist	GreenArcherMoveToSouthWest.plist	GreenArcherMoveToWest.plist	Die.plist	GreenArcherStandAndFaceToEast.plist	GreenArcherStandAndFaceToNorthEast.plist	GreenArcherStandAndFaceToNorthWest.plist	GreenArcherStandAndFaceToSouthEast.plist	GreenArcherStandAndFaceToSouthWest.plist	GreenArcherStandAndFaceToWest.plist	GreenArcherAttackToEast.plist	GreenArcherAttackToNorthEast.plist	GreenArcherAttackToSouthEast.plist	GreenArcherAttackToWest.plist	GreenArcherAttackToNorthWest.plist	GreenArcherAttackToSouthWest.plist	283	33	500	600	8	100	Arrow	Normal	0	20	90	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
PinkArcher_03	PinkArcherMoveToEast.plist	PinkArcherMoveToNorthEast.plist	PinkArcherMoveToNorthWest.plist	PinkArcherMoveToSouthEast.plist	PinkArcherMoveToSouthWest.plist	PinkArcherMoveToWest.plist	Die.plist	PinkArcherStandAndFaceToEast.plist	PinkArcherStandAndFaceToNorthEast.plist	PinkArcherStandAndFaceToNorthWest.plist	PinkArcherStandAndFaceToSouthEast.plist	PinkArcherStandAndFaceToSouthWest.plist	PinkArcherStandAndFaceToWest.plist	PinkArcherAttackToEast.plist	PinkArcherAttackToNorthEast.plist	PinkArcherAttackToSouthEast.plist	PinkArcherAttackToWest.plist	PinkArcherAttackToNorthWest.plist	PinkArcherAttackToSouthWest.plist	283	33	500	600	8	100	Arrow	Normal	0	15	90	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BlueBarbarian_03	BlueBarbarianMoveToEast.plist	BlueBarbarianMoveToNorthEast.plist	BlueBarbarianMoveToNorthWest.plist	BlueBarbarianMoveToSouthEast.plist	BlueBarbarianMoveToSouthWest.plist	BlueBarbarianMoveToWest.plist	Die.plist	BlueBarbarianStandAndFaceToEast.plist	BlueBarbarianStandAndFaceToNorthEast.plist	BlueBarbarianStandAndFaceToNorthWest.plist	BlueBarbarianStandAndFaceToSouthEast.plist	BlueBarbarianStandAndFaceToSouthWest.plist	BlueBarbarianStandAndFaceToWest.plist	BlueBarbarianAttackToEast.plist	BlueBarbarianAttackToNorthEast.plist	BlueBarbarianAttackToSouthEast.plist	BlueBarbarianAttackToWest.plist	BlueBarbarianAttackToNorthWest.plist	BlueBarbarianAttackToSouthWest.plist	489	29	50	500	8	100	Null	Normal	0	50	130	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BrownBarbarian_03	BrownBarbarianMoveToEast.plist	BrownBarbarianMoveToNorthEast.plist	BrownBarbarianMoveToNorthWest.plist	BrownBarbarianMoveToSouthEast.plist	BrownBarbarianMoveToSouthWest.plist	BrownBarbarianMoveToWest.plist	Die.plist	BrownBarbarianStandAndFaceToEast.plist	BrownBarbarianStandAndFaceToNorthEast.plist	BrownBarbarianStandAndFaceToNorthWest.plist	BrownBarbarianStandAndFaceToSouthEast.plist	BrownBarbarianStandAndFaceToSouthWest.plist	BrownBarbarianStandAndFaceToWest.plist	BrownBarbarianAttackToEast.plist	BrownBarbarianAttackToNorthEast.plist	BrownBarbarianAttackToSouthEast.plist	BrownBarbarianAttackToWest.plist	BrownBarbarianAttackToNorthWest.plist	BrownBarbarianAttackToSouthWest.plist	489	29	50	500	8	100	Null	Normal	0	50	130	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BlueEnchanter_03	BlueEnchanterMoveToEast.plist	BlueEnchanterMoveToNorthEast.plist	BlueEnchanterMoveToNorthWest.plist	BlueEnchanterMoveToSouthEast.plist	BlueEnchanterMoveToSouthWest.plist	BlueEnchanterMoveToWest.plist	Die.plist	BlueEnchanterStandAndFaceToEast.plist	BlueEnchanterStandAndFaceToNorthEast.plist	BlueEnchanterStandAndFaceToNorthWest.plist	BlueEnchanterStandAndFaceToSouthEast.plist	BlueEnchanterStandAndFaceToSouthWest.plist	BlueEnchanterStandAndFaceToWest.plist	BlueEnchanterAttackToEast.plist	BlueEnchanterAttackToNorthEast.plist	BlueEnchanterAttackToSouthEast.plist	BlueEnchanterAttackToWest.plist	BlueEnchanterAttackToNorthWest.plist	BlueEnchanterAttackToSouthWest.plist	432	18	350	550	8	100	Magic	AreaOfEffect	50	25	100	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
PurpleEnchanter_03	PurpleEnchanterMoveToEast.plist	PurpleEnchanterMoveToNorthEast.plist	PurpleEnchanterMoveToNorthWest.plist	PurpleEnchanterMoveToSouthEast.plist	PurpleEnchanterMoveToSouthWest.plist	PurpleEnchanterMoveToWest.plist	Die.plist	PurpleEnchanterStandAndFaceToEast.plist	PurpleEnchanterStandAndFaceToNorthEast.plist	PurpleEnchanterStandAndFaceToNorthWest.plist	PurpleEnchanterStandAndFaceToSouthEast.plist	PurpleEnchanterStandAndFaceToSouthWest.plist	PurpleEnchanterStandAndFaceToWest.plist	PurpleEnchanterAttackToEast.plist	PurpleEnchanterAttackToNorthEast.plist	PurpleEnchanterAttackToSouthEast.plist	PurpleEnchanterAttackToWest.plist	PurpleEnchanterAttackToNorthWest.plist	PurpleEnchanterAttackToSouthWest.plist	432	18	350	550	8	100	Magic	AreaOfEffect	50	25	100	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BlueArcher_04	BlueArcherMoveToEast.plist	BlueArcherMoveToNorthEast.plist	BlueArcherMoveToNorthWest.plist	BlueArcherMoveToSouthEast.plist	BlueArcherMoveToSouthWest.plist	BlueArcherMoveToWest.plist	Die.plist	BlueArcherStandAndFaceToEast.plist	BlueArcherStandAndFaceToNorthEast.plist	BlueArcherStandAndFaceToNorthWest.plist	BlueArcherStandAndFaceToSouthEast.plist	BlueArcherStandAndFaceToSouthWest.plist	BlueArcherStandAndFaceToWest.plist	BlueArcherAttackToEast.plist	BlueArcherAttackToNorthEast.plist	BlueArcherAttackToSouthEast.plist	BlueArcherAttackToWest.plist	BlueArcherAttackToNorthWest.plist	BlueArcherAttackToSouthWest.plist	339	40	500	600	8	100	Arrow	Normal	0	15	90	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
GreenArcher_04	GreenArcherMoveToEast.plist	GreenArcherMoveToNorthEast.plist	GreenArcherMoveToNorthWest.plist	GreenArcherMoveToSouthEast.plist	GreenArcherMoveToSouthWest.plist	GreenArcherMoveToWest.plist	Die.plist	GreenArcherStandAndFaceToEast.plist	GreenArcherStandAndFaceToNorthEast.plist	GreenArcherStandAndFaceToNorthWest.plist	GreenArcherStandAndFaceToSouthEast.plist	GreenArcherStandAndFaceToSouthWest.plist	GreenArcherStandAndFaceToWest.plist	GreenArcherAttackToEast.plist	GreenArcherAttackToNorthEast.plist	GreenArcherAttackToSouthEast.plist	GreenArcherAttackToWest.plist	GreenArcherAttackToNorthWest.plist	GreenArcherAttackToSouthWest.plist	339	40	500	600	8	100	Arrow	Normal	0	20	90	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
PinkArcher_04	PinkArcherMoveToEast.plist	PinkArcherMoveToNorthEast.plist	PinkArcherMoveToNorthWest.plist	PinkArcherMoveToSouthEast.plist	PinkArcherMoveToSouthWest.plist	PinkArcherMoveToWest.plist	Die.plist	PinkArcherStandAndFaceToEast.plist	PinkArcherStandAndFaceToNorthEast.plist	PinkArcherStandAndFaceToNorthWest.plist	PinkArcherStandAndFaceToSouthEast.plist	PinkArcherStandAndFaceToSouthWest.plist	PinkArcherStandAndFaceToWest.plist	PinkArcherAttackToEast.plist	PinkArcherAttackToNorthEast.plist	PinkArcherAttackToSouthEast.plist	PinkArcherAttackToWest.plist	PinkArcherAttackToNorthWest.plist	PinkArcherAttackToSouthWest.plist	339	40	500	600	8	100	Arrow	Normal	0	15	90	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BlueBarbarian_04	BlueBarbarianMoveToEast.plist	BlueBarbarianMoveToNorthEast.plist	BlueBarbarianMoveToNorthWest.plist	BlueBarbarianMoveToSouthEast.plist	BlueBarbarianMoveToSouthWest.plist	BlueBarbarianMoveToWest.plist	Die.plist	BlueBarbarianStandAndFaceToEast.plist	BlueBarbarianStandAndFaceToNorthEast.plist	BlueBarbarianStandAndFaceToNorthWest.plist	BlueBarbarianStandAndFaceToSouthEast.plist	BlueBarbarianStandAndFaceToSouthWest.plist	BlueBarbarianStandAndFaceToWest.plist	BlueBarbarianAttackToEast.plist	BlueBarbarianAttackToNorthEast.plist	BlueBarbarianAttackToSouthEast.plist	BlueBarbarianAttackToWest.plist	BlueBarbarianAttackToNorthWest.plist	BlueBarbarianAttackToSouthWest.plist	587	34	50	500	8	100	Null	Normal	0	50	130	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BrownBarbarian_04	BrownBarbarianMoveToEast.plist	BrownBarbarianMoveToNorthEast.plist	BrownBarbarianMoveToNorthWest.plist	BrownBarbarianMoveToSouthEast.plist	BrownBarbarianMoveToSouthWest.plist	BrownBarbarianMoveToWest.plist	Die.plist	BrownBarbarianStandAndFaceToEast.plist	BrownBarbarianStandAndFaceToNorthEast.plist	BrownBarbarianStandAndFaceToNorthWest.plist	BrownBarbarianStandAndFaceToSouthEast.plist	BrownBarbarianStandAndFaceToSouthWest.plist	BrownBarbarianStandAndFaceToWest.plist	BrownBarbarianAttackToEast.plist	BrownBarbarianAttackToNorthEast.plist	BrownBarbarianAttackToSouthEast.plist	BrownBarbarianAttackToWest.plist	BrownBarbarianAttackToNorthWest.plist	BrownBarbarianAttackToSouthWest.plist	587	34	50	500	8	100	Null	Normal	0	50	130	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
BlueEnchanter_04	BlueEnchanterMoveToEast.plist	BlueEnchanterMoveToNorthEast.plist	BlueEnchanterMoveToNorthWest.plist	BlueEnchanterMoveToSouthEast.plist	BlueEnchanterMoveToSouthWest.plist	BlueEnchanterMoveToWest.plist	Die.plist	BlueEnchanterStandAndFaceToEast.plist	BlueEnchanterStandAndFaceToNorthEast.plist	BlueEnchanterStandAndFaceToNorthWest.plist	BlueEnchanterStandAndFaceToSouthEast.plist	BlueEnchanterStandAndFaceToSouthWest.plist	BlueEnchanterStandAndFaceToWest.plist	BlueEnchanterAttackToEast.plist	BlueEnchanterAttackToNorthEast.plist	BlueEnchanterAttackToSouthEast.plist	BlueEnchanterAttackToWest.plist	BlueEnchanterAttackToNorthWest.plist	BlueEnchanterAttackToSouthWest.plist	518	22	350	550	8	100	Magic	AreaOfEffect	50	25	100	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
PurpleEnchanter_04	PurpleEnchanterMoveToEast.plist	PurpleEnchanterMoveToNorthEast.plist	PurpleEnchanterMoveToNorthWest.plist	PurpleEnchanterMoveToSouthEast.plist	PurpleEnchanterMoveToSouthWest.plist	PurpleEnchanterMoveToWest.plist	Die.plist	PurpleEnchanterStandAndFaceToEast.plist	PurpleEnchanterStandAndFaceToNorthEast.plist	PurpleEnchanterStandAndFaceToNorthWest.plist	PurpleEnchanterStandAndFaceToSouthEast.plist	PurpleEnchanterStandAndFaceToSouthWest.plist	PurpleEnchanterStandAndFaceToWest.plist	PurpleEnchanterAttackToEast.plist	PurpleEnchanterAttackToNorthEast.plist	PurpleEnchanterAttackToSouthEast.plist	PurpleEnchanterAttackToWest.plist	PurpleEnchanterAttackToNorthWest.plist	PurpleEnchanterAttackToSouthWest.plist	518	22	350	550	8	100	Magic	AreaOfEffect	50	25	100	0.1	3	0.5	SmallBlueSelectedTips.png	SmallRedSelectedTips.png		1500
