BuildingTemplateName	PrepareToBuildStatusTextureName	BeingBuiltStatusTextureName	WorkingStatusTextureName	DestroyStatusTextureName	ShadowTextureName	ShadowYPositionInBeingBuiltStatus	ShadowYPositionInWorkingStatus	ShadowYPositionInDestroyStatus	BuildingTimeBySecond	MaxHP	CenterBottomGridYPosition	BottomGridColumnCount	BottomGridRowCount	ExtraEnemyAttackRadius	DestroySpecialEffectTemplateName	DefenceNpcName	DefenceNpcYPosition	AttackRange	AttackPower	BlueSelectedTipsTextureName	RedSelectedTipsTextureName
PinkAnchorTower_03	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1354	69	2	2	0	BuildingBomb	PinkArcher	220	950	56	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
BlueMagicTower_03	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1485	23	2	2	0	BuildingBomb	BlueEnchanter	220	700	31	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleMagicTower_03	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1485	23	2	2	0	BuildingBomb	PurpleEnchanter	220	700	31	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleAnchorTower_04	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1625	83	2	2	0	BuildingBomb	BlueArcher	220	950	68	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PinkAnchorTower_04	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1625	83	2	2	0	BuildingBomb	PinkArcher	220	950	68	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
BlueMagicTower_04	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1782	27	2	2	0	BuildingBomb	BlueEnchanter	220	700	37	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleMagicTower_04	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1782	27	2	2	0	BuildingBomb	PurpleEnchanter	220	700	37	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleAnchorTower_05	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1950	100	2	2	0	BuildingBomb	BlueArcher	220	950	81	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PinkAnchorTower_05	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1950	100	2	2	0	BuildingBomb	PinkArcher	220	950	81	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
BlueMagicTower_05	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	2138	33	2	2	0	BuildingBomb	BlueEnchanter	220	700	45	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleMagicTower_05	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	2138	33	2	2	0	BuildingBomb	PurpleEnchanter	220	700	45	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
